Region,Sub-region,Country,Year,Measure Names,Measure Values
Americas,Central America,Costa Rica,2010,Rate,142.243222147
Americas,Central America,Belize,2010,Rate,40.314452731
Americas,Central America,Panama,2010,Count,1008
Americas,Central America,Nicaragua,2010,Count,3626
Americas,Central America,Mexico,2010,Count,34113
Americas,Central America,Guatemala,2010,Count,496
Americas,Central America,El Salvador,2010,Count,2231
Americas,Central America,Costa Rica,2010,Count,6511
Americas,Central America,Belize,2010,Count,130
Americas,Central America,Panama,2011,Rate,55.659292822
Americas,Central America,Mexico,2011,Rate,29.410824103
Americas,Central America,Honduras,2011,Rate,42.213645856
Americas,Central America,Guatemala,2011,Rate,3.806328138
Americas,Central America,El Salvador,2011,Rate,44.118355055
Americas,Central America,Costa Rica,2011,Rate,140.360010585
Americas,Central America,Belize,2011,Rate,36.640463184
Americas,Central America,Panama,2011,Count,2063
Americas,Central America,Mexico,2011,Count,34027
Americas,Central America,Honduras,2011,Count,3580
Americas,Central America,Guatemala,2011,Count,569
Americas,Central America,El Salvador,2011,Count,2740
Americas,Central America,Costa Rica,2011,Count,6503
